player_id,class,level,hp,max_hp,deaths,session_minutes,gold,potions_used,quests_done,quit_flag
101,Warrior,4,120,120,0,45,80,2,6,0
102,Mage,7,60,90,1,120,240,9,14,0
103,Rogue,1,40,40,3,15,5,0,1,1
104,Warrior,12,180,180,0,300,1100,12,31,0
105,Mage,2,25,60,2,35,30,3,4,1
106,Rogue,5,75,75,0,90,150,4,9,0
107,Warrior,3,95,95,1,50,60,3,5,1
108,Mage,10,75,90,0,210,600,14,22,0
109,Rogue,9,110,110,0,180,420,7,19,0
110,Warrior,1,100,100,0,25,10,1,2,0
111,Mage,4,40,60,1,55,90,5,8,1
112,Rogue,6,85,85,0,95,170,4,10,0
113,Warrior,8,150,150,0,140,350,6,16,0
114,Mage,6,55,60,0,110,280,8,12,0
115,Rogue,2,50,50,2,20,15,1,2,1
116,Warrior,11,170,170,0,260,850,10,27,0
117,Mage,8,70,90,0,190,500,11,18,0
118,Rogue,13,130,130,0,340,1500,15,38,0
119,Warrior,5,125,125,1,75,200,5,11,0
120,Mage,3,35,60,0,40,45,2,5,1
121,Rogue,10,120,120,0,230,700,9,24,0
122,Warrior,7,140,140,0,125,300,7,15,0
123,Mage,9,80,90,0,200,560,12,20,0
124,Rogue,4,70,70,1,60,110,3,7,1
125,Warrior,2,105,105,0,30,20,1,3,0
126,Mage,5,50,60,0,100,220,7,10,0
127,Rogue,8,105,105,0,160,380,6,17,0
128,Warrior,6,130,130,0,105,250,6,13,0
129,Mage,1,20,60,4,10,0,0,0,1
130,Rogue,3,60,60,0,45,70,2,6,0
